class,method,descriptor,tier,total_issues,orig_insns,recomp_insns,insn_diff,issue_breakdown,n_branch_inv,n_branch_target,n_const_ref,n_goto_swap,n_opcode,n_orig_extra,n_recomp_extra,n_return_swap,n_var_slot
zombie/popman/NetworkZombiePacker,getZombieData,(Lzombie/core/raknet/UdpConnection;Ljava/nio/ByteBuffer;)I,STRUCTURAL,57,110,111,1,const_ref:19; var_slot:13; opcode:12; branch_target:5; goto_swap:5; branch_inv:1; return_swap:1; orig_extra:1,1,5,19,5,12,1,,1,13
zombie/characters/IsoZombie,lambda$registerVariableCallbacks$9,()Ljava/lang/Boolean;,STRUCTURAL,58,124,123,-1,const_ref:27; opcode:14; var_slot:6; branch_target:3; goto_swap:3; return_swap:3; branch_inv:1; orig_extra:1,1,3,27,3,14,1,,3,6
zombie/network/GameServerWorkshopItems,Install,(Ljava/util/ArrayList;)Z,STRUCTURAL,58,119,119,0,opcode:27; var_slot:18; goto_swap:7; return_swap:3; branch_target:1; const_ref:1; orig_extra:1,,1,1,7,27,1,,3,18
zombie/savefile/PlayerDBHelper,isPlayerAlive,(Ljava/lang/String;I)Z,SORTED_MULTISET,58,114,114,0,opcode:20; var_slot:14; goto_swap:9; const_ref:9; return_swap:3; branch_inv:1; branch_target:1; recomp_extra:1,1,1,9,9,20,,1,3,14
zombie/iso/IsoObject,renderOverlaySprites,(FFFLzombie/core/textures/ColorInfo;)V,SORTED_MULTISET,59,101,102,1,opcode:22; var_slot:16; const_ref:9; branch_target:6; goto_swap:3; recomp_extra:2; return_swap:1,,6,9,3,22,,2,1,16
zombie/worldMap/WorldMapRenderer,intersect_ray_plane,(Lzombie/vehicles/UI3DScene$Plane;Lzombie/vehicles/UI3DScene$Ray;Lorg/joml/Vector3f;)I,STRUCTURAL,59,93,93,0,opcode:21; const_ref:17; var_slot:16; return_swap:4; branch_inv:1,1,,17,,21,,,4,16
zombie/SandboxOptions,newCustomOption,(Lzombie/sandbox/CustomSandboxOption;)V,STRUCTURAL,60,107,108,1,const_ref:48; branch_target:6; goto_swap:5; recomp_extra:1,,6,48,5,,,1,,
zombie/gameStates/AttachmentEditorState,fromLua1,(Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;,STRUCTURAL,60,51,49,-2,opcode:36; var_slot:20; return_swap:2; orig_extra:2,,,,,36,2,,2,20
zombie/gameStates/DebugChunkState,fromLua2,(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,STRUCTURAL,60,53,51,-2,opcode:38; var_slot:18; return_swap:2; orig_extra:2,,,,,38,2,,2,18
zombie/gameStates/DebugGlobalObjectState,fromLua2,(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,STRUCTURAL,60,53,51,-2,opcode:38; var_slot:18; return_swap:2; orig_extra:2,,,,,38,2,,2,18
zombie/vehicles/EditVehicleState,fromLua1,(Ljava/lang/String;Ljava/lang/Object;)Ljava/lang/Object;,STRUCTURAL,60,51,49,-2,opcode:36; var_slot:20; return_swap:2; orig_extra:2,,,,,36,2,,2,20
zombie/commands/CommandBase,parseCommand,()Z,SORTED_MULTISET,61,202,201,-1,const_ref:41; opcode:9; var_slot:5; goto_swap:4; branch_target:2,,2,41,4,9,,,,5
zombie/core/znet/SteamWorkshopItem,getAllowedTags,()Ljava/util/ArrayList;,SORTED_MULTISET,61,59,61,2,opcode:22; var_slot:21; goto_swap:14; recomp_extra:2; const_ref:1; return_swap:1,,,1,14,22,,2,1,21
zombie/iso/CellLoader,LoadCellBinaryChunk,(Lzombie/iso/sprite/IsoSpriteManager;II)Lzombie/iso/IsoCell;,SORTED_MULTISET,61,148,148,0,const_ref:30; var_slot:12; opcode:12; branch_target:7,,7,30,,12,,,,12
zombie/iso/IsoObject,getNew,(Lzombie/iso/IsoGridSquare;Ljava/lang/String;Ljava/lang/String;Z)Lzombie/iso/IsoObject;,SORTED_MULTISET,62,57,59,2,opcode:28; var_slot:21; goto_swap:6; const_ref:4; recomp_extra:2; return_swap:1,,,4,6,28,,2,1,21
zombie/network/FakeClientManager$Network,decode,(Ljava/nio/ByteBuffer;)V,STRUCTURAL,62,158,156,-2,const_ref:22; opcode:17; var_slot:12; branch_target:6; orig_extra:3; goto_swap:1; return_swap:1,,6,22,1,17,3,,1,12
zombie/scripting/ScriptParser,parseTokens,(Ljava/lang/String;)Ljava/util/ArrayList;,STRUCTURAL,62,82,82,0,opcode:28; var_slot:23; goto_swap:5; const_ref:3; branch_target:1; return_swap:1; orig_extra:1,,1,3,5,28,1,,1,23
zombie/scripting/ScriptParsingUtils,SplitExceptInbetween,(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)[Ljava/lang/String;,STRUCTURAL,62,216,214,-2,opcode:25; var_slot:20; branch_target:9; const_ref:4; goto_swap:2; orig_extra:2,,9,4,2,25,2,,,20
zombie/core/skinnedmodel/ModelManager,initAnimationMeshes,(Z)V,STRUCTURAL,63,100,101,1,const_ref:61; branch_target:2,,2,61,,,,,,
zombie/randomizedWorld/randomizedDeadSurvivor/RDSZombieLockedBathroom,randomizeDeadSurvivor,(Lzombie/iso/BuildingDef;)V,STRUCTURAL,63,152,151,-1,opcode:20; var_slot:14; goto_swap:13; branch_target:6; const_ref:6; return_swap:2; branch_inv:1; orig_extra:1,1,6,6,13,20,1,,2,14
zombie/vehicles/test_IsQuadranglesAreTransposed,testIsQuadranglesAreTransposed_5,()V,SORTED_MULTISET,63,68,72,4,opcode:52; var_slot:10; const_ref:1,,,1,,52,,,,10
zombie/core/skinnedmodel/animation/StaticAnimation,getPose,()V,STRUCTURAL,64,109,108,-1,opcode:28; var_slot:19; goto_swap:11; branch_target:3; const_ref:2; orig_extra:1,,3,2,11,28,1,,,19
zombie/core/skinnedmodel/model/CharacterMask$Part,getBloodBodyPartTypes,()[Lzombie/characterTextures/BloodBodyPartType;,STRUCTURAL,64,146,145,-1,opcode:27; var_slot:15; branch_target:11; goto_swap:9; return_swap:1; orig_extra:1,,11,,9,27,1,,1,15
zombie/erosion/season/ErosionIceQueen,setRoofSnow,()V,STRUCTURAL,64,431,429,-2,opcode:26; var_slot:24; goto_swap:11; branch_target:1; const_ref:1; orig_extra:1,,1,1,11,26,1,,,24
zombie/vehicles/test_IsQuadranglesAreTransposed,testIsQuadranglesAreTransposed_1,()V,SORTED_MULTISET,64,68,72,4,opcode:52; var_slot:10; const_ref:2,,,2,,52,,,,10
zombie/vehicles/test_IsQuadranglesAreTransposed,testIsQuadranglesAreTransposed_4,()V,SORTED_MULTISET,64,68,72,4,opcode:50; var_slot:10; const_ref:4,,,4,,50,,,,10
zombie/vehicles/test_IsQuadranglesAreTransposed,testIsQuadranglesAreTransposed_7,()V,SORTED_MULTISET,64,68,72,4,opcode:48; var_slot:10; const_ref:6,,,6,,48,,,,10
zombie/vehicles/test_IsQuadranglesAreTransposed,testIsQuadranglesAreTransposed_8,()V,SORTED_MULTISET,64,68,72,4,opcode:52; var_slot:10; const_ref:2,,,2,,52,,,,10
zombie/vehicles/test_IsQuadranglesAreTransposed,testIsQuadranglesAreTransposed_10,()V,SORTED_MULTISET,64,68,72,4,opcode:50; var_slot:10; const_ref:4,,,4,,50,,,,10
zombie/vehicles/test_IsQuadranglesAreTransposed,testIsQuadranglesAreTransposed_11,()V,SORTED_MULTISET,64,68,72,4,opcode:48; var_slot:10; const_ref:6,,,6,,48,,,,10
zombie/characters/action/ActionGroup,loadGroupData,(Ljava/io/File;)V,STRUCTURAL,65,100,99,-1,opcode:29; var_slot:21; goto_swap:9; branch_target:5; branch_inv:1,1,5,,9,29,,,,21
zombie/vehicles/test_IsQuadranglesAreTransposed,testIsQuadranglesAreTransposed_2,()V,SORTED_MULTISET,65,68,72,4,opcode:52; var_slot:10; const_ref:3,,,3,,52,,,,10
zombie/vehicles/test_IsQuadranglesAreTransposed,testIsQuadranglesAreTransposed_3,()V,SORTED_MULTISET,65,68,72,4,opcode:52; var_slot:10; const_ref:3,,,3,,52,,,,10
zombie/vehicles/test_IsQuadranglesAreTransposed,testIsQuadranglesAreTransposed_6,()V,SORTED_MULTISET,65,68,72,4,opcode:52; var_slot:10; const_ref:3,,,3,,52,,,,10
zombie/vehicles/test_IsQuadranglesAreTransposed,testIsQuadranglesAreTransposed_9,()V,SORTED_MULTISET,65,68,72,4,opcode:52; var_slot:10; const_ref:3,,,3,,52,,,,10
zombie/world/DictionaryData,load,()V,SORTED_MULTISET,65,69,68,-1,var_slot:22; opcode:20; const_ref:12; goto_swap:6; branch_target:2; return_swap:2; orig_extra:1,,2,12,6,20,1,,2,22
zombie/GameWindow,InitDisplay,()V,SORTED_MULTISET,66,98,100,2,const_ref:64; opcode:2,,,64,,2,,,,
zombie/characters/IsoPlayer,calculateContext,()V,STRUCTURAL,66,412,412,0,const_ref:60; goto_swap:3; branch_target:2; orig_extra:1,,2,60,3,,1,,,
zombie/iso/objects/IsoFire,render,(FFFLzombie/core/textures/ColorInfo;ZZLzombie/core/opengl/Shader;)V,STRUCTURAL,66,95,94,-1,opcode:31; var_slot:19; goto_swap:5; const_ref:5; branch_target:3; branch_inv:1; return_swap:1; orig_extra:1,1,3,5,5,31,1,,1,19
zombie/iso/objects/IsoZombieHead,<init>,(Lzombie/iso/objects/IsoZombieHead$GibletType;Lzombie/iso/IsoCell;FFF)V,SORTED_MULTISET,66,78,90,12,opcode:31; recomp_extra:12; var_slot:11; const_ref:10; goto_swap:1; return_swap:1,,,10,1,31,,12,1,11
zombie/vehicles/test_IsQuadranglesAreTransposed,testIsQuadranglesAreTransposed_12,()V,SORTED_MULTISET,66,68,72,4,opcode:48; var_slot:10; const_ref:8,,,8,,48,,,,10
zombie/iso/objects/IsoDeadBody,Burn,()V,SORTED_MULTISET,68,84,84,0,opcode:38; var_slot:18; goto_swap:4; branch_target:3; const_ref:3; return_swap:2,,3,3,4,38,,,2,18
zombie/network/packets/EventPacket,set,(Lzombie/characters/IsoPlayer;Ljava/lang/String;)Z,STRUCTURAL,68,413,412,-1,opcode:33; branch_target:20; goto_swap:5; var_slot:4; return_swap:3; const_ref:2; orig_extra:1,,20,2,5,33,1,,3,4
zombie/vehicles/UI3DScene,intersect_ray_plane,(Lzombie/vehicles/UI3DScene$Plane;Lzombie/vehicles/UI3DScene$Ray;Lorg/joml/Vector3f;)I,STRUCTURAL,68,93,93,0,const_ref:26; opcode:21; var_slot:16; return_swap:4; branch_inv:1,1,,26,,21,,,4,16
zombie/core/textures/Texture,renderstrip,(IIIIFFFFLjava/util/function/Consumer;)V,STRUCTURAL,69,134,128,-6,var_slot:28; opcode:22; const_ref:7; orig_extra:6; goto_swap:4; branch_target:1; return_swap:1,,1,7,4,22,6,,1,28
zombie/iso/IsoWaterGeometry,hideWaterObjects,(Lzombie/iso/IsoGridSquare;)V,STRUCTURAL,71,84,83,-1,opcode:44; var_slot:17; goto_swap:5; branch_target:2; branch_inv:1; const_ref:1; orig_extra:1,1,2,1,5,44,1,,,17
zombie/iso/sprite/IsoAnim,LoadFramesBitRepeatFrame,(Ljava/lang/String;Ljava/lang/String;I)V,STRUCTURAL,71,75,73,-2,opcode:33; var_slot:23; const_ref:12; orig_extra:2; return_swap:1,,,12,,33,2,,1,23
zombie/ai/states/SwipeStatePlayer,CalcHitListShove,(Lzombie/characters/IsoGameCharacter;ZLzombie/network/packets/hit/AttackVars;Ljava/util/ArrayList;)V,STRUCTURAL,72,192,191,-1,opcode:25; var_slot:20; branch_target:11; goto_swap:9; const_ref:5; branch_inv:1; orig_extra:1,1,11,5,9,25,1,,,20
zombie/iso/objects/IsoMannequin,wearItem,(Lzombie/inventory/InventoryItem;Lzombie/characters/IsoGameCharacter;)V,SORTED_MULTISET,72,80,79,-1,opcode:22; var_slot:20; const_ref:16; branch_target:5; goto_swap:4; return_swap:3; branch_inv:1; orig_extra:1,1,5,16,4,22,1,,3,20
zombie/iso/objects/IsoDoor,toggleDoubleDoor,(Lzombie/iso/IsoObject;Z)V,SORTED_MULTISET,73,88,82,-6,opcode:31; var_slot:23; goto_swap:7; const_ref:4; orig_extra:4; branch_target:3; return_swap:1,,3,4,7,31,4,,1,23
zombie/vehicles/VehicleDBHelper,isPlayerAlive,(Ljava/lang/String;I)Z,SORTED_MULTISET,73,118,120,2,var_slot:29; opcode:26; goto_swap:10; recomp_extra:4; return_swap:3; const_ref:1,,,1,10,26,,4,3,29
zombie/iso/objects/IsoDoor,addSheet,(Lzombie/characters/IsoGameCharacter;)V,SORTED_MULTISET,74,80,82,2,opcode:33; goto_swap:21; var_slot:14; branch_target:3; recomp_extra:2; return_swap:1,,3,,21,33,,2,1,14
zombie/network/RCONServer$ClientThread,handlePacket,(IILjava/lang/String;)V,STRUCTURAL,74,178,177,-1,const_ref:71; goto_swap:2; branch_inv:1,1,,71,2,,,,,
zombie/core/skinnedmodel/ModelManager,getLoadedModel,(Ljava/lang/String;)Lzombie/core/skinnedmodel/model/Model;,STRUCTURAL,77,176,174,-2,const_ref:71; branch_target:2; goto_swap:2; branch_inv:1; var_slot:1,1,2,71,2,,,,,1
